t,i
32.0,53
32.0,71
32.0,91
32.0,99
32.0,111
32.0,171
32.0,215
32.0,219
32.0,237
32.0,241
32.0,251
32.0,258
32.0,300
32.0,318
32.0,326
32.0,350
32.0,361
32.0,371
32.0,377
32.0,407
32.0,430
32.0,435
32.0,455
32.0,475
32.0,484
32.0,497
32.0,504
32.0,506
32.0,509
32.0,532
32.0,536
32.0,541
32.0,555
32.0,612
32.0,629
32.0,645
32.0,663
32.0,671
32.0,683
32.0,689
32.0,705
32.0,706
32.0,722
32.0,730
32.0,751
32.0,760
32.0,762
32.0,764
32.0,773
32.0,824
32.0,829
32.0,840
32.0,858
32.0,873
32.0,893
32.0,896
32.0,899
32.0,916
32.0,976
32.0,986
32.0,987
32.0,996
33.0,6
33.0,20
33.0,23
33.0,37
33.0,64
33.0,97
33.0,106
33.0,108
33.0,134
33.0,164
33.0,170
33.0,192
33.0,211
33.0,238
33.0,244
33.0,246
33.0,289
33.0,295
33.0,303
33.0,362
33.0,374
33.0,390
33.0,413
33.0,436
33.0,441
33.0,444
33.0,467
33.0,490
33.0,498
33.0,543
33.0,581
33.0,600
33.0,642
33.0,648
33.0,684
33.0,771
33.0,778
33.0,788
33.0,820
33.0,833
33.0,838
33.0,849
33.0,852
33.0,877
33.0,882
33.0,889
33.0,909
33.0,910
33.0,923
33.0,956
33.0,983
34.0,0
34.0,36
34.0,39
34.0,50
34.0,70
34.0,93
34.0,105
34.0,126
34.0,135
34.0,141
34.0,178
34.0,193
34.0,197
34.0,205
34.0,209
34.0,330
34.0,355
34.0,387
34.0,416
34.0,453
34.0,462
34.0,530
34.0,556
34.0,561
34.0,571
34.0,578
34.0,586
34.0,589
34.0,601
34.0,664
34.0,692
34.0,711
34.0,725
34.0,737
34.0,739
34.0,754
34.0,758
34.0,775
34.0,780
34.0,803
34.0,818
34.0,841
34.0,848
34.0,851
34.0,870
34.0,887
34.0,894
34.0,897
34.0,898
34.0,911
34.0,929
34.0,946
34.0,982
34.0,994
34.0,998
35.0,1
35.0,2
35.0,17
35.0,35
35.0,45
35.0,58
35.0,59
35.0,71
35.0,76
35.0,139
35.0,190
35.0,215
35.0,229
35.0,236
35.0,245
35.0,263
35.0,271
35.0,300
35.0,314
35.0,324
35.0,342
35.0,407
35.0,421
35.0,422
35.0,471
35.0,489
35.0,513
35.0,522
35.0,532
35.0,544
35.0,549
35.0,563
35.0,570
35.0,572
35.0,591
35.0,612
35.0,613
35.0,614
35.0,624
35.0,674
35.0,675
35.0,676
35.0,680
35.0,688
35.0,699
35.0,713
35.0,716
35.0,736
35.0,740
35.0,757
35.0,783
35.0,791
35.0,802
35.0,811
35.0,812
35.0,828
35.0,832
35.0,835
35.0,857
35.0,867
35.0,875
35.0,890
35.0,891
35.0,895
35.0,912
35.0,932
35.0,937
35.0,942
35.0,945
35.0,948
35.0,951
35.0,954
35.0,964
36.0,6
36.0,55
36.0,64
36.0,66
36.0,72
36.0,87
36.0,94
36.0,110
36.0,125
36.0,128
36.0,132
36.0,152
36.0,162
36.0,168
36.0,169
36.0,191
36.0,261
36.0,262
36.0,273
36.0,274
36.0,288
36.0,313
36.0,317
36.0,322
36.0,338
36.0,369
36.0,373
36.0,375
36.0,380
36.0,391
36.0,400
36.0,415
36.0,439
36.0,443
36.0,475
