t,i
277.0,276
277.0,320
277.0,493
277.0,506
277.0,583
277.0,759
277.0,839
277.0,845
277.0,881
277.0,996
278.0,12
278.0,17
278.0,55
278.0,129
278.0,131
278.0,151
278.0,199
278.0,330
278.0,332
278.0,358
278.0,407
278.0,442
278.0,529
278.0,571
278.0,627
278.0,671
278.0,750
278.0,825
278.0,885
278.0,953
278.0,954
278.0,974
279.0,81
279.0,191
279.0,200
279.0,201
279.0,217
279.0,235
279.0,251
279.0,280
279.0,296
279.0,310
279.0,771
279.0,801
279.0,830
279.0,872
279.0,939
280.0,40
280.0,58
280.0,63
280.0,69
280.0,103
280.0,390
280.0,428
280.0,441
280.0,643
280.0,669
280.0,911
280.0,950
281.0,45
281.0,195
281.0,216
281.0,253
281.0,278
281.0,364
281.0,415
281.0,505
281.0,523
281.0,633
281.0,645
281.0,701
281.0,724
281.0,760
281.0,889
281.0,913
281.0,972
281.0,988
282.0,12
282.0,53
282.0,54
282.0,107
282.0,191
282.0,295
282.0,369
282.0,420
282.0,491
282.0,509
282.0,624
282.0,627
282.0,651
282.0,751
282.0,765
282.0,822
282.0,852
282.0,891
282.0,922
282.0,937
282.0,960
283.0,14
283.0,101
283.0,270
283.0,306
283.0,434
283.0,499
283.0,526
283.0,542
283.0,639
283.0,677
283.0,690
283.0,693
283.0,700
283.0,757
283.0,804
283.0,864
284.0,21
284.0,38
284.0,51
284.0,62
284.0,113
284.0,124
284.0,229
284.0,314
284.0,342
284.0,410
284.0,416
284.0,479
284.0,539
284.0,572
284.0,580
284.0,614
284.0,698
284.0,803
284.0,999
285.0,188
285.0,297
285.0,368
285.0,379
285.0,391
285.0,468
285.0,699
285.0,793
285.0,813
285.0,863
285.0,904
285.0,919
286.0,50
286.0,52
286.0,83
286.0,179
286.0,203
286.0,258
286.0,302
286.0,380
286.0,595
286.0,612
286.0,747
286.0,908
286.0,925
286.0,993
287.0,7
287.0,193
287.0,219
287.0,222
287.0,298
287.0,381
287.0,514
287.0,520
287.0,598
287.0,687
287.0,697
287.0,766
287.0,780
287.0,797
287.0,955
287.0,963
288.0,25
288.0,87
288.0,147
288.0,157
288.0,242
288.0,321
288.0,432
288.0,451
288.0,513
288.0,527
288.0,560
288.0,613
288.0,714
288.0,715
288.0,763
288.0,967
289.0,188
289.0,211
289.0,322
289.0,350
289.0,395
289.0,455
289.0,518
289.0,536
289.0,576
289.0,596
289.0,627
289.0,827
289.0,855
289.0,929
290.0,27
290.0,57
290.0,64
290.0,158
290.0,184
290.0,240
290.0,266
290.0,279
290.0,307
290.0,404
290.0,473
290.0,738
290.0,740
290.0,758
290.0,832
290.0,876
290.0,907
290.0,932
290.0,941
291.0,43
291.0,130
291.0,250
291.0,289
291.0,325
291.0,326
291.0,411
291.0,507
291.0,595
291.0,708
291.0,737
291.0,893
291.0,898
291.0,964
291.0,970
291.0,980
292.0,16
292.0,34
292.0,79
292.0,359
292.0,367
292.0,477
292.0,511
292.0,525
292.0,546
292.0,548
292.0,599
292.0,613
292.0,666
292.0,798
292.0,859
292.0,879
292.0,910
292.0,918
292.0,938
293.0,10
293.0,23
293.0,46
293.0,118
293.0,121
293.0,286
293.0,309
293.0,327
293.0,337
293.0,345
293.0,353
293.0,489
293.0,513
293.0,521
293.0,679
294.0,49
294.0,164
294.0,187
294.0,212
294.0,288
294.0,401
294.0,465
294.0,535
294.0,554
294.0,734
294.0,739
294.0,815
294.0,865
294.0,958
294.0,989
294.0,994
295.0,11
295.0,128
295.0,137
295.0,244
295.0,324
295.0,393
295.0,524
295.0,682
295.0,699
295.0,726
295.0,834
295.0,880
295.0,887
295.0,896
296.0,143
296.0,259
296.0,375
296.0,399
296.0,408
296.0,439
296.0,496
296.0,544
296.0,607
296.0,662
296.0,725
296.0,883
296.0,978
297.0,28
297.0,74
297.0,301
297.0,366
297.0,373
297.0,444
297.0,609
297.0,727
297.0,772
297.0,894
297.0,906
297.0,982
298.0,49
298.0,154
298.0,228
298.0,475
298.0,502
298.0,541
298.0,646
298.0,657
298.0,947
298.0,984
299.0,106
299.0,168
299.0,169
299.0,376
299.0,445
299.0,490
299.0,869
299.0,959
300.0,167
300.0,422
300.0,438
300.0,485
300.0,548
300.0,568
300.0,588
300.0,694
300.0,742
300.0,769
300.0,833
301.0,486
301.0,501
301.0,800
301.0,997
302.0,190
302.0,629
302.0,723
302.0,795
303.0,24
303.0,126
303.0,743
303.0,799
304.0,352
304.0,384
304.0,423
304.0,450
304.0,497
304.0,696
304.0,821
305.0,135
305.0,162
305.0,557
305.0,625
305.0,692
305.0,899
306.0,336
306.0,461
306.0,753
306.0,995
307.0,96
307.0,269
308.0,19
308.0,150
308.0,186
308.0,617
308.0,847
308.0,920
309.0,155
309.0,650
309.0,680
309.0,756
310.0,47
310.0,556
310.0,620
310.0,703
311.0,61
311.0,104
311.0,538
311.0,721
312.0,37
312.0,42
312.0,271
312.0,299
312.0,510
312.0,605
312.0,741
313.0,94
313.0,127
313.0,161
313.0,215
313.0,586
313.0,892
314.0,77
315.0,67
315.0,72
315.0,73
315.0,777
316.0,261
316.0,312
316.0,412
316.0,658
316.0,713
316.0,741
316.0,926
317.0,120
317.0,287
317.0,644
317.0,668
318.0,6
319.0,111
319.0,335
319.0,431
319.0,589
319.0,590
319.0,611
319.0,807
319.0,973
320.0,37
320.0,84
320.0,221
320.0,531
320.0,555
320.0,689
320.0,748
321.0,6
321.0,60
321.0,400
321.0,498
321.0,741
321.0,836
322.0,316
322.0,459
322.0,809
324.0,136
324.0,653
324.0,790
325.0,68
325.0,354
325.0,460
325.0,464
325.0,514
325.0,545
325.0,581
325.0,781
326.0,308
327.0,60
327.0,70
327.0,146
327.0,257
327.0,360
327.0,463
327.0,579
327.0,695
327.0,709
327.0,839
328.0,357
328.0,608
328.0,891
329.0,142
329.0,277
329.0,284
329.0,642
330.0,109
330.0,778
331.0,17
331.0,89
331.0,340
331.0,628
331.0,681
331.0,717
331.0,878
332.0,304
332.0,440
332.0,566
332.0,719
332.0,775
333.0,315
333.0,522
333.0,640
333.0,804
333.0,882
333.0,937
334.0,532
334.0,888
335.0,388
336.0,17
336.0,178
336.0,318
336.0,392
336.0,731
336.0,842
336.0,864
337.0,236
337.0,245
337.0,552
337.0,654
338.0,36
338.0,600
338.0,636
339.0,238
339.0,458
339.0,573
340.0,147
340.0,564
341.0,96
341.0,282
341.0,508
341.0,783
341.0,785
342.0,5
342.0,194
342.0,437
342.0,604
342.0,707
343.0,378
343.0,413
343.0,574
343.0,636
343.0,788
343.0,954
344.0,208
344.0,415
344.0,716
344.0,949
345.0,30
345.0,197
345.0,216
345.0,281
345.0,537
346.0,3
346.0,25
346.0,189
346.0,256
346.0,525
346.0,540
347.0,4
347.0,294
347.0,311
347.0,425
347.0,659
347.0,688
347.0,996
348.0,365
348.0,382
348.0,398
348.0,415
348.0,575
348.0,655
348.0,829
348.0,941
348.0,993
349.0,50
349.0,241
349.0,338
349.0,348
349.0,559
349.0,850
349.0,856
349.0,943
350.0,15
350.0,237
350.0,256
350.0,264
350.0,616
350.0,735
350.0,760
350.0,930
350.0,988
351.0,311
351.0,436
351.0,601
351.0,802
352.0,64
352.0,125
352.0,693
352.0,830
352.0,834
353.0,145
353.0,239
353.0,418
353.0,861
353.0,919
353.0,935
354.0,100
354.0,234
354.0,274
354.0,547
354.0,575
354.0,616
354.0,676
354.0,776
355.0,386
355.0,391
355.0,456
355.0,471
355.0,482
355.0,577
356.0,12
356.0,108
356.0,160
356.0,192
356.0,306
356.0,519
356.0,751
357.0,93
357.0,129
357.0,231
357.0,533
357.0,754
358.0,259
358.0,469
358.0,843
358.0,911
358.0,936
359.0,289
359.0,347
359.0,660
359.0,712
359.0,796
359.0,845
359.0,955
359.0,958
360.0,105
360.0,196
360.0,223
360.0,562
360.0,751
360.0,837
360.0,863
361.0,429
362.0,129
362.0,362
362.0,453
362.0,558
362.0,730
362.0,732
363.0,183
363.0,576
363.0,767
363.0,817
363.0,939
364.0,32
364.0,59
364.0,173
364.0,283
364.0,433
364.0,549
364.0,634
365.0,305
365.0,330
365.0,791
366.0,99
366.0,175
366.0,414
366.0,623
366.0,848
366.0,959
367.0,31
367.0,103
367.0,435
367.0,454
367.0,773
367.0,827
367.0,918
368.0,59
368.0,205
368.0,474
368.0,549
368.0,701
368.0,822
369.0,149
369.0,409
369.0,428
369.0,451
369.0,496
369.0,618
369.0,989
370.0,53
370.0,68
370.0,253
370.0,922
371.0,174
371.0,509
371.0,631
371.0,794
371.0,908
372.0,405
372.0,417
373.0,291
373.0,321
373.0,363
373.0,394
373.0,656
373.0,990
374.0,2
374.0,152
374.0,293
374.0,621
374.0,664
375.0,181
375.0,265
375.0,356
375.0,728
376.0,89
376.0,123
376.0,353
376.0,369
376.0,374
376.0,683
376.0,885
377.0,457
377.0,526
377.0,632
377.0,792
377.0,963
378.0,22
378.0,113
378.0,128
378.0,275
378.0,366
378.0,585
378.0,619
378.0,722
379.0,317
379.0,396
379.0,748
380.0,8
380.0,45
380.0,116
380.0,325
380.0,594
380.0,825
380.0,926
381.0,403
381.0,427
381.0,444
381.0,506
381.0,523
381.0,528
381.0,708
381.0,812
381.0,953
382.0,97
382.0,157
382.0,372
382.0,419
382.0,442
382.0,462
382.0,646
383.0,85
383.0,247
383.0,329
383.0,344
383.0,500
383.0,567
383.0,678
383.0,756
383.0,855
383.0,881
383.0,902
383.0,928
383.0,973
384.0,227
384.0,267
384.0,296
384.0,387
384.0,434
384.0,511
384.0,581
384.0,615
384.0,651
384.0,674
384.0,702
385.0,80
385.0,300
385.0,381
385.0,443
385.0,447
385.0,487
385.0,641
385.0,888
385.0,906
386.0,117
386.0,155
386.0,170
386.0,180
386.0,319
386.0,331
386.0,662
386.0,784
386.0,950
387.0,8
387.0,138
387.0,301
387.0,343
387.0,350
387.0,384
387.0,510
387.0,858
388.0,16
388.0,98
388.0,358
388.0,503
388.0,504
388.0,698
388.0,780
388.0,893
388.0,949
389.0,1
389.0,168
389.0,349
389.0,401
389.0,421
389.0,486
389.0,487
389.0,493
389.0,553
389.0,804
389.0,836
389.0,976
390.0,20
390.0,33
390.0,221
390.0,343
390.0,645
390.0,847
391.0,24
391.0,102
391.0,228
391.0,249
391.0,385
391.0,424
391.0,512
391.0,592
391.0,648
391.0,739
391.0,821
392.0,25
392.0,358
392.0,588
392.0,591
392.0,639
392.0,783
392.0,978
392.0,984
393.0,18
393.0,349
393.0,580
393.0,650
393.0,734
393.0,737
393.0,975
394.0,127
394.0,249
394.0,250
394.0,285
394.0,483
394.0,495
394.0,643
394.0,709
394.0,937
394.0,995
394.0,996
395.0,57
395.0,71
395.0,78
395.0,297
395.0,328
395.0,368
395.0,490
395.0,499
395.0,565
395.0,591
395.0,774
395.0,800
395.0,809
395.0,942
396.0,207
396.0,225
396.0,323
396.0,439
396.0,513
396.0,572
396.0,746
396.0,931
396.0,977
397.0,249
397.0,302
397.0,335
397.0,524
397.0,725
398.0,198
398.0,244
398.0,254
398.0,292
398.0,430
398.0,595
398.0,706
398.0,727
398.0,766
398.0,882
398.0,938
398.0,956
399.0,55
399.0,182
399.0,339
399.0,354
399.0,406
399.0,559
399.0,667
399.0,813
399.0,980
400.0,166
400.0,370
400.0,477
400.0,490
400.0,491
400.0,515
400.0,625
400.0,687
400.0,878
401.0,52
401.0,75
401.0,361
401.0,595
401.0,624
401.0,661
401.0,892
402.0,5
402.0,56
402.0,224
402.0,278
402.0,334
402.0,339
402.0,367
402.0,560
403.0,406
403.0,762
404.0,47
404.0,83
404.0,195
404.0,407
404.0,485
404.0,633
404.0,703
404.0,736
404.0,761
405.0,140
405.0,214
405.0,320
405.0,410
405.0,583
405.0,595
405.0,765
405.0,795
405.0,802
405.0,883
406.0,39
406.0,136
406.0,139
406.0,299
406.0,339
406.0,507
406.0,705
406.0,710
406.0,908
407.0,211
407.0,262
407.0,383
407.0,402
407.0,593
407.0,668
407.0,677
407.0,690
407.0,863
408.0,38
408.0,202
408.0,270
408.0,346
408.0,357
408.0,926
409.0,14
409.0,63
409.0,73
409.0,209
409.0,472
409.0,686
409.0,896
409.0,919
409.0,940
409.0,955
409.0,972
410.0,11
410.0,27
410.0,41
410.0,46
410.0,76
410.0,208
410.0,218
410.0,327
410.0,411
410.0,412
410.0,440
410.0,749
411.0,165
411.0,217
411.0,272
411.0,380
411.0,627
411.0,630
411.0,743
411.0,767
411.0,771
411.0,954
411.0,993
412.0,62
412.0,120
412.0,162
412.0,251
412.0,255
412.0,282
412.0,502
412.0,534
412.0,543
412.0,609
412.0,694
412.0,697
412.0,829
412.0,935
413.0,6
413.0,19
413.0,172
413.0,190
413.0,284
413.0,290
413.0,379
413.0,637
414.0,40
414.0,66
414.0,404
414.0,408
414.0,488
414.0,518
414.0,617
414.0,704
414.0,747
414.0,789
415.0,94
415.0,222
415.0,445
415.0,672
415.0,753
415.0,832
415.0,994
416.0,61
416.0,171
416.0,324
416.0,399
416.0,422
416.0,530
416.0,570
416.0,839
416.0,856
416.0,876
417.0,7
417.0,82
417.0,88
417.0,178
417.0,193
417.0,220
417.0,304
417.0,338
417.0,390
417.0,404
417.0,494
417.0,514
417.0,684
417.0,711
417.0,726
417.0,778
417.0,779
418.0,30
418.0,216
418.0,260
418.0,397
418.0,584
418.0,598
418.0,635
418.0,652
418.0,680
418.0,682
418.0,718
418.0,843
418.0,898
419.0,69
419.0,143
419.0,213
419.0,240
419.0,287
419.0,364
419.0,445
419.0,452
419.0,484
419.0,529
419.0,620
419.0,626
419.0,636
419.0,696
419.0,758
419.0,782
419.0,928
419.0,960
419.0,988
420.0,81
420.0,187
420.0,189
420.0,360
420.0,508
420.0,531
420.0,550
420.0,586
420.0,692
420.0,724
420.0,770
420.0,772
420.0,786
420.0,812
420.0,911
420.0,913
420.0,939
421.0,82
421.0,90
421.0,126
421.0,141
421.0,147
421.0,184
421.0,283
421.0,304
421.0,326
421.0,476
421.0,516
421.0,544
421.0,657
421.0,673
421.0,745
421.0,807
421.0,974
422.0,49
422.0,58
422.0,177
422.0,309
422.0,352
422.0,392
422.0,397
422.0,463
422.0,596
422.0,647
422.0,691
422.0,714
422.0,740
422.0,816
422.0,833
422.0,861
423.0,77
423.0,115
423.0,119
423.0,130
423.0,146
423.0,169
423.0,188
423.0,269
423.0,273
423.0,289
423.0,310
423.0,351
423.0,420
423.0,460
423.0,517
423.0,532
423.0,602
423.0,606
423.0,608
423.0,628
423.0,644
423.0,663
423.0,815
423.0,842
423.0,850
423.0,869
423.0,920
423.0,950
423.0,966
424.0,64
424.0,84
424.0,142
424.0,156
424.0,337
424.0,345
424.0,376
424.0,382
424.0,555
424.0,597
424.0,666
424.0,670
424.0,715
424.0,785
424.0,845
424.0,864
424.0,891
424.0,907
424.0,932
425.0,43
425.0,109
425.0,131
425.0,141
425.0,210
425.0,391
425.0,450
425.0,614
425.0,720
425.0,820
425.0,830
425.0,885
425.0,918
425.0,930
425.0,958
425.0,959
425.0,987
426.0,87
426.0,95
426.0,149
426.0,183
426.0,200
426.0,232
426.0,248
426.0,355
426.0,378
426.0,554
426.0,573
426.0,665
426.0,764
426.0,796
426.0,834
426.0,852
426.0,881
426.0,888
426.0,949
426.0,989
426.0,999
427.0,44
427.0,106
427.0,203
427.0,246
427.0,289
427.0,312
427.0,403
427.0,475
427.0,480
427.0,547
427.0,613
427.0,671
427.0,716
427.0,847
427.0,871
427.0,986
428.0,77
428.0,104
428.0,107
428.0,114
428.0,163
428.0,191
428.0,234
428.0,310
428.0,376
428.0,393
428.0,542
428.0,582
428.0,817
428.0,855
428.0,889
428.0,906
428.0,967
429.0,36
429.0,50
429.0,58
429.0,72
429.0,280
429.0,461
429.0,481
429.0,536
429.0,660
429.0,788
429.0,800
429.0,979
430.0,54
430.0,164
430.0,532
430.0,600
430.0,798
430.0,984
431.0,134
431.0,191
431.0,201
431.0,242
431.0,610
431.0,669
431.0,790
431.0,859
432.0,578
432.0,589
432.0,716
432.0,788
432.0,806
432.0,880
433.0,258
433.0,501
433.0,685
433.0,719
433.0,742
433.0,754
433.0,809
433.0,893
434.0,474
434.0,634
434.0,695
434.0,963
435.0,191
435.0,611
436.0,59
436.0,179
436.0,453
436.0,469
436.0,679
436.0,976
437.0,159
437.0,381
437.0,388
437.0,688
438.0,153
438.0,332
438.0,371
438.0,425
438.0,492
438.0,634
439.0,266
439.0,350
440.0,48
440.0,67
440.0,71
440.0,333
440.0,562
440.0,700
441.0,185
441.0,394
441.0,681
441.0,781
441.0,936
442.0,133
442.0,689
442.0,777
443.0,341
443.0,556
443.0,784
443.0,797
445.0,132
445.0,153
445.0,245
445.0,247
445.0,467
445.0,566
446.0,79
446.0,192
446.0,435
446.0,527
446.0,730
447.0,123
447.0,322
447.0,561
448.0,42
448.0,298
448.0,466
448.0,479
448.0,498
448.0,504
449.0,101
449.0,137
449.0,215
449.0,455
450.0,148
450.0,197
451.0,92
451.0,271
451.0,435
451.0,509
451.0,973
452.0,122
452.0,151
452.0,342
452.0,519
453.0,86
454.0,315
454.0,487
454.0,526
454.0,851
455.0,294
455.0,576
455.0,579
456.0,35
456.0,575
456.0,908
457.0,86
457.0,375
457.0,629
457.0,793
458.0,21
458.0,437
458.0,464
459.0,219
459.0,653
459.0,655
459.0,768
460.0,286
460.0,296
460.0,329
460.0,487
460.0,522
460.0,813
461.0,496
461.0,829
461.0,836
462.0,51
462.0,63
462.0,174
462.0,196
462.0,741
463.0,10
463.0,229
463.0,416
463.0,482
463.0,729
464.0,206
464.0,233
464.0,300
464.0,415
464.0,429
464.0,510
465.0,145
465.0,276
465.0,539
465.0,741
466.0,465
466.0,563
466.0,728
466.0,752
467.0,9
467.0,256
467.0,542
467.0,706
468.0,24
468.0,110
468.0,438
468.0,658
468.0,712
468.0,731
468.0,757
469.0,6
469.0,253
469.0,323
469.0,525
470.0,520
470.0,769
470.0,883
470.0,940
470.0,980
471.0,25
471.0,546
471.0,583
471.0,750
471.0,804
471.0,865
471.0,996
472.0,33
472.0,359
472.0,552
472.0,560
472.0,775
472.0,821
472.0,898
472.0,994
473.0,316
473.0,319
473.0,449
473.0,506
473.0,551
473.0,564
473.0,574
473.0,733
473.0,822
474.0,24
474.0,112
474.0,386
474.0,762
474.0,842
474.0,935
475.0,78
475.0,288
475.0,732
475.0,769
475.0,807
476.0,34
476.0,186
476.0,277
476.0,541
476.0,612
477.0,152
477.0,154
477.0,491
477.0,565
477.0,569
477.0,902
477.0,910
478.0,268
478.0,478
478.0,523
478.0,605
479.0,176
479.0,470
479.0,549
479.0,571
479.0,594
479.0,734
480.0,111
480.0,252
480.0,346
480.0,640
480.0,888
482.0,199
482.0,226
482.0,308
483.0,80
483.0,278
483.0,426
483.0,599
483.0,787
483.0,911
484.0,303
484.0,483
484.0,535
484.0,618
484.0,693
484.0,748
484.0,799
484.0,812
485.0,85
485.0,167
485.0,738
486.0,2
486.0,45
486.0,121
486.0,205
486.0,259
486.0,297
486.0,521
486.0,617
486.0,622
486.0,763
486.0,765
487.0,802
488.0,3
488.0,12
488.0,194
488.0,311
488.0,314
488.0,405
489.0,184
489.0,545
489.0,707
489.0,713
489.0,774
490.0,99
490.0,377
490.0,451
490.0,458
490.0,686
490.0,776
490.0,893
490.0,972
490.0,978
491.0,175
491.0,235
491.0,414
491.0,446
491.0,591
491.0,718
491.0,723
491.0,751
491.0,880
492.0,0
492.0,18
492.0,27
492.0,285
492.0,631
492.0,676
492.0,677
492.0,685
492.0,755
492.0,863
492.0,953
492.0,988
493.0,12
493.0,20
493.0,55
493.0,147
493.0,537
493.0,892
493.0,919
494.0,144
494.0,363
494.0,417
494.0,474
494.0,588
494.0,616
495.0,8
495.0,11
495.0,15
495.0,418
495.0,431
495.0,462
495.0,585
495.0,654
495.0,664
495.0,737
495.0,780
496.0,230
496.0,250
496.0,486
496.0,632
496.0,999
497.0,348
497.0,538
497.0,682
497.0,708
497.0,937
498.0,28
498.0,100
498.0,113
498.0,119
498.0,301
498.0,318
498.0,477
498.0,511
498.0,577
498.0,607
498.0,646
498.0,862
499.0,65
499.0,313
499.0,587
499.0,794
499.0,920
500.0,0
500.0,13
500.0,105
500.0,275
500.0,289
500.0,424
500.0,735
500.0,881
500.0,918
501.0,103
501.0,146
501.0,150
501.0,237
501.0,241
501.0,257
501.0,325
501.0,648
501.0,650
501.0,766
501.0,779
501.0,847
501.0,850
501.0,861
501.0,959
501.0,986
502.0,126
502.0,327
502.0,342
502.0,344
502.0,369
502.0,375
502.0,399
502.0,431
502.0,439
502.0,635
502.0,687
502.0,914
503.0,29
503.0,54
503.0,91
503.0,130
503.0,225
503.0,261
503.0,419
503.0,457
503.0,533
503.0,843
503.0,955
504.0,58
504.0,118
504.0,343
504.0,428
504.0,665
505.0,182
505.0,310
505.0,381
505.0,559
505.0,796
506.0,5
506.0,16
506.0,204
506.0,362
506.0,373
506.0,528
506.0,595
506.0,711
506.0,745
506.0,778
506.0,848
507.0,444
507.0,590
507.0,964
507.0,989
508.0,343
508.0,436
508.0,497
508.0,531
508.0,572
508.0,604
508.0,625
508.0,722
508.0,836
509.0,44
509.0,52
509.0,160
509.0,178
509.0,207
509.0,381
509.0,390
509.0,524
509.0,885
509.0,926
510.0,209
510.0,282
510.0,293
510.0,302
510.0,473
510.0,960
510.0,967
511.0,272
511.0,343
511.0,383
511.0,391
511.0,637
511.0,661
511.0,956
512.0,70
512.0,124
512.0,441
512.0,447
512.0,638
512.0,702
512.0,817
512.0,908
512.0,995
513.0,114
513.0,145
513.0,202
513.0,283
513.0,568
513.0,696
513.0,939
513.0,949
513.0,974
514.0,104
514.0,224
514.0,243
514.0,423
514.0,488
514.0,636
514.0,670
514.0,678
514.0,797
514.0,855
514.0,954
515.0,471
515.0,500
515.0,510
515.0,620
515.0,701
515.0,757
515.0,825
515.0,830
515.0,958
516.0,142
516.0,413
516.0,667
516.0,782
516.0,784
517.0,42
517.0,68
517.0,365
517.0,447
517.0,740
518.0,132
518.0,385
518.0,614
518.0,672
518.0,797
518.0,938
519.0,75
519.0,324
519.0,372
519.0,430
519.0,719
519.0,963
519.0,984
520.0,208
520.0,213
520.0,249
520.0,266
520.0,493
521.0,46
521.0,267
521.0,365
521.0,584
521.0,709
522.0,37
522.0,231
522.0,485
522.0,593
522.0,703
523.0,65
523.0,173
523.0,254
523.0,326
523.0,756
523.0,768
523.0,941
524.0,109
524.0,120
524.0,208
524.0,227
524.0,273
524.0,459
524.0,746
525.0,69
525.0,370
525.0,427
525.0,494
525.0,651
525.0,694
525.0,725
525.0,744
525.0,832
526.0,60
526.0,108
526.0,117
526.0,274
526.0,331
526.0,543
526.0,845
526.0,932
527.0,140
527.0,382
527.0,396
527.0,464
527.0,698
527.0,699
528.0,49
528.0,196
528.0,228
528.0,239
528.0,602
528.0,716
529.0,74
529.0,136
529.0,141
529.0,192
529.0,295
529.0,335
529.0,448
529.0,659
529.0,777
529.0,783
529.0,935
530.0,4
530.0,23
530.0,47
530.0,88
530.0,129
530.0,199
530.0,320
530.0,322
530.0,402
530.0,434
530.0,581
530.0,690
530.0,759
530.0,761
530.0,863
530.0,878
531.0,159
531.0,489
531.0,567
531.0,683
531.0,717
531.0,892
531.0,996
532.0,30
532.0,36
532.0,76
532.0,83
532.0,201
532.0,557
532.0,788
533.0,67
533.0,141
533.0,191
533.0,203
533.0,216
533.0,223
533.0,263
533.0,410
533.0,434
533.0,452
533.0,467
533.0,643
533.0,749
533.0,827
533.0,906
534.0,177
534.0,398
534.0,536
534.0,586
534.0,597
534.0,601
534.0,783
534.0,809
534.0,839
534.0,876
534.0,887
535.0,17
535.0,51
535.0,59
535.0,87
535.0,122
535.0,172
535.0,306
535.0,329
535.0,397
535.0,442
535.0,513
535.0,539
535.0,600
535.0,671
535.0,802
535.0,852
536.0,57
536.0,200
536.0,212
536.0,345
536.0,384
536.0,392
536.0,409
536.0,547
536.0,666
536.0,675
536.0,689
536.0,715
536.0,788
536.0,891
536.0,949
536.0,950
536.0,999
537.0,26
537.0,151
537.0,161
537.0,190
537.0,191
537.0,251
537.0,317
537.0,361
537.0,380
537.0,739
537.0,813
537.0,888
537.0,928
537.0,955
538.0,24
538.0,169
538.0,180
538.0,307
538.0,389
538.0,592
538.0,681
538.0,743
538.0,842
538.0,973
539.0,181
539.0,558
539.0,608
539.0,640
539.0,647
539.0,789
539.0,798
539.0,834
539.0,857
539.0,893
539.0,922
539.0,985
540.0,53
540.0,189
540.0,290
540.0,403
540.0,807
540.0,896
541.0,77
541.0,82
541.0,352
541.0,359
541.0,400
541.0,484
541.0,507
541.0,736
541.0,792
541.0,843
541.0,936
542.0,39
542.0,191
542.0,350
542.0,358
542.0,395
542.0,468
542.0,563
542.0,644
542.0,994
543.0,74
543.0,195
543.0,236
543.0,368
543.0,931
543.0,978
544.0,217
544.0,770
544.0,902
544.0,911
544.0,962
544.0,980
545.0,82
545.0,328
545.0,463
545.0,660
545.0,815
545.0,901
546.0,35
546.0,627
546.0,747
546.0,816
547.0,1
547.0,73
547.0,86
547.0,149
547.0,649
547.0,822
548.0,321
548.0,337
548.0,517
549.0,19
550.0,246
550.0,685
551.0,157
551.0,183
551.0,318
551.0,460
551.0,518
551.0,550
551.0,700
551.0,728
552.0,821
553.0,90
553.0,514
553.0,624
553.0,691
554.0,234
554.0,354
554.0,495
554.0,634
555.0,94
555.0,197
555.0,229
555.0,247
555.0,394
555.0,476
555.0,525
556.0,244
556.0,353
556.0,401
556.0,466
556.0,734
557.0,116
557.0,164
557.0,255
557.0,349
557.0,554
557.0,594
558.0,14
558.0,66
558.0,280
558.0,347
558.0,408
558.0,421
558.0,514
558.0,516
558.0,603
558.0,751
559.0,187
559.0,221
559.0,319
559.0,406
559.0,623
559.0,714
559.0,793
560.0,10
560.0,64
560.0,340
560.0,433
560.0,538
560.0,548
560.0,566
560.0,712
560.0,765
560.0,988
561.0,41
561.0,123
561.0,155
561.0,160
561.0,242
561.0,309
561.0,445
561.0,472
561.0,553
561.0,680
561.0,688
561.0,751
562.0,6
562.0,21
562.0,166
562.0,336
562.0,374
562.0,407
562.0,465
562.0,613
562.0,861
562.0,918
563.0,110
563.0,171
563.0,299
563.0,333
563.0,542
563.0,546
563.0,641
563.0,713
563.0,800
563.0,801
563.0,847
563.0,947
564.0,15
564.0,289
564.0,315
564.0,334
564.0,412
564.0,449
564.0,521
564.0,589
564.0,622
564.0,639
564.0,773
564.0,908
564.0,926
564.0,954
564.0,959
564.0,967
565.0,294
565.0,330
565.0,445
565.0,456
565.0,564
565.0,656
565.0,673
565.0,729
565.0,871
565.0,904
565.0,942
566.0,85
566.0,127
566.0,153
566.0,186
566.0,207
566.0,260
566.0,338
566.0,406
566.0,504
566.0,621
566.0,648
566.0,704
566.0,724
566.0,817
566.0,836
566.0,850
566.0,872
566.0,974
566.0,993
567.0,18
567.0,125
567.0,156
567.0,446
567.0,469
567.0,475
567.0,753
567.0,812
567.0,848
567.0,920
568.0,193
568.0,279
568.0,326
568.0,519
568.0,613
568.0,752
568.0,832
568.0,919
568.0,983
569.0,72
569.0,95
569.0,287
569.0,498
569.0,573
569.0,668
569.0,830
569.0,865
570.0,134
570.0,218
570.0,248
570.0,377
570.0,422
570.0,438
570.0,551
570.0,856
570.0,864
570.0,883
571.0,75
571.0,461
571.0,523
571.0,631
571.0,721
571.0,731
572.0,296
572.0,469
572.0,588
572.0,772
573.0,130
573.0,612
573.0,646
573.0,880
573.0,934
574.0,129
574.0,138
575.0,13
575.0,71
575.0,258
575.0,285
575.0,652
576.0,112
576.0,706
577.0,937
578.0,8
578.0,158
578.0,264
578.0,503
578.0,709
579.0,3
579.0,40
579.0,240
579.0,575
579.0,741
579.0,771
580.0,454
581.0,22
581.0,71
581.0,411
581.0,530
581.0,645
581.0,663
581.0,679
